,tweet,label
70,rt surgeon general dyk handwashing remains one best way prevent spread virus like covid thing,1
71,according state health department haryana covid recoveryrate gurugram http co oz kcdajij covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates http co sp yrrrwj,1
72,daily update published sunday monday tend see number dip see today still k case rising hospitalization large jump death last sunday holiday number day average back http co hdqfxq oj,1
73,total number confirmed case covid number report world health organization,1
74,brazailian parliament went hospital take covid patient found empty,0
75,multiple post shared thousand time facebook twitter youtube claim salt effective remedy novel coronavirus,0
76,un secretary general antonio guterres say covid pandemic dramatically derailed sustainable development goal put question progress made eradication poverty hunger latest world news http co cdn pokubf http co tfzpdffyrc,1
77,instagram post claiming covid test tainted coronavirus circulation many month,0
78,across state report tracked hospitalization bulk new york louisiana florida also growing number hospitalization,1
79,philippine senator grace poe risa hontiveros silent coronavirus crisis vocal closure ab cbn,0
80,indiafightscorona india total recovery continue rise cross lakh today state contribute total case active case total fatality reported india staysafe indiawillwin http co krn goabnp,1
81,important consequence seeing covid syndemic underline social origin vulnerability older citizen black asian minority ethnic community key worker commonly poorly paid fewer welfare protection,0
82,rt covidnewsbymib indiafightscorona icmrdelhi scale covid testing capacity lakh test per day country tota,1
83,video show italian doctor say nobody died coronavirus italy dangerous flu,0
84,seasonal influenza vaccination mandatory georgia fall covid mortality rate significantly lower fatality caused virus,0
85,say case mt roskill evangelical fellowship group case bereavement sub cluster includes case whose source infection bereavement event,1
86,one new zealand receiving hospital level care covid yesterday laboratory completed test bringing total number test completed date covid covid nz covid,1
87,pm th april breakdown case state lagos fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benue anambra borno jigawa,1
88,biggest change data number covid patient currently hospitalized addition florida k hospitalization seen number since first week may seem likely decline soon http co trvo ypkgf,1
89,coronavirusupdates covid india tracker september confirmed case recovered active case death indiafightscorona indiawillwin staysafe via mohfw india http co wvqslxqbpc,1
90,person coronavirus galicia,0
91,india tested lakh sample day covid enabled icmrdelhi commitment set laboratory expanding testing mechanism detail visit http co fqhg xrn icmrfightscovid indiafightscorona mohfw india http co rdkcvfbhus,1
92,claim jordanian health minister say covid conspiracy video,0
93,pregnant woman covid higher rate premature birth http co g hscywgpr,1
94,solidarity trial also underway many country project complete controlling covid effectively easier due availability proper medicine vaccine etc control various infectious disease across world,1
95,covid update new case covid report new zealand today day since last case covid acquired locally unknown source,1
96,compare number completed test reported new mexico state population time smaller california number even close yet http co tzb fzm fp,1
97,case community auckland based connected existing outbreak close contact case already reported new case household contact previously reported case still investigation gp mt wellington,1
98,precautionary message one catch fire due hand sanitizer high amount alcohol message also show hand lady applying sanitizer went near stove ended burning hand,0
99,brings new zealand total number active case managed isolation quarantine facility case community nz total number confirmed case covid number report,1
100,say rudy giuliani bought share novartis primary supplier hydroxychloroquine early february,0
101,student pondicherry university india found home remedy covid accepted world health organization,0
102,footballer ronaldo turning hotel covid hospital,0
103,coronavirusupdates india record highest ever single day peak covid recovery indiafightscorona total recovery cross lakh recovery exceed active case lakh http co xby er k p http co vdqsv xvub,1
104,cough fever runny nose symptom came suddenly good chance could flu watch find next fightflu http co fp asjumw,1
105,president trump say panda responsible covid http co mgan g oy donaldtrump china coronavirus zoo panda,0
106,today active covid case mumbai district maharastra http co ccqiygbxl mohfw india drharshvardhan drhvoffice mantralayaroom covid covid covid coronaupdatesinindia coronavirus coronavirusupdates coronaviruspandemic http co k icon kz,1
107,public health england weekly coronavirus report show rise almost rhinovirus infection include common cold last week http co n jzzyu lj,1
108,image suspected coronavirus vaccine causing covid,0
109,people likely others become severely ill covid mean may require hospitalization intensive care ventilator help breathe severely ill people may die learn http co lxfaqqx http co manrecav g,1
110,camila pitanga brazilian actress contracted covid said caught malaria could take chloroquine without admitting wrong,0
111,new coronavirus cause sudden death syndrome,0
112,indiafightscorona increasing gap covid recovered active case india may september staysafe indiawillwin http co ffj dkyspr,1
113,coronavirus party deadly consequence http co wtrijwju,1
114,cabinet office minister michael gove say going shift emphasis working home new covid restriction kayburley get latest coronavirus news http co hk hrup ay http co q btm ye p,1
115,james gross well reporting quite effectively refuse put number table dashboard reason beyond,1
116,looking number like yesterday one state california drove huge increase number seems much solid driven number state reporting large number test completed,1
117,india lost individual coronavirus till date view rising coronavirus case bihar government extends lockdown state till september nationalist congress party chief sharad pawar residence four people tested positive coronavirus http co lqgjhhvr g,0
118,bill gate profit vaccination want reduce world population,0
119,indiafightscorona mohfw india held virtual meeting today state ut ensure adequate oxygen availability healthcare facility unrestricted intra well inter state movement oxygen read detail http co cfx myecfx staysafe indiawillwin http co ja u ey z,1
120,hcps attend next coca call tuesday aug pm et via zoom topic covid telehealth implementation story field learn http co vwvkebacnf covid http co yid bdxiap,1
121,healthy year old boy lost life covid day http co smqhswqt,1
122,important part work data collection analysis pm every day data team collates result received testing laboratory inform nigerian number new covid case result received time reported next day http co nyo neimrk,1
123,finally launched first real version covid racial data tracker partnership dribram antiracismctr major effort project volunteer hope useful community across country http co htyv ta,1
124,acc mohfw india incubation period covid time exposure novel coronavirus becoming infected symptom onset day median estimate day long day coronavirus covid covid http co u wkfqs sm,1
125,nasal flu vaccine side effect cause covid,0
126,today case bring combined total confirmed probable covid case people reported recovered today two people hospital one middlemore north shore hospital neither icu,1
127,new publication covid pandemic could cause hiv treatment interruption allow increase new infection program plan avoid risk save life full report http co x xey iiz author brittajewell jennifersmith timothyhallett http co mmrowjy jr,1
128,transparency leader vital crisis must access data make informed decision behavior change az resident access data model projection http co u iux kml http co rpkjdmzkev,1
129,one nz receiving hospital level care covid yesterday laboratory completed test bringing total number test completed minister advised reassured number continue increase coming day,1
130,followlasg rapid response team working nfeltp strengthen community testing covid lgas team provides support newly reactivated lga walk testing site increased testing capacity access awareness covid grassroot level http co mniu obt v,1
131,new recovered case reported five state viz maharashtra tamil nadu andhra pradesh karnataka uttar pradesh maharashtra alone contributed andhra pradesh contributed new recovery http co ntodwipflp,1
132,claim india began screening passenger covid affected country single case pm modi fact govt mandated universal screening internat l flight march case detected across indian state http co caogf glz,0
133,say coronavirus military bio weapon developed china army,0
134,indore india police doctor injecting coronavirus positive blood muslim,0
135,photo vaccine developed u scientist covid,0
136,video clip show doctor couple died treating covid patient,0
137,death reported bringing total dataset include probable covid death reported nyc new york state working separate accounting lab confirmed probable death state http co j rbzys rz,1
138,youth sport organization resume activity planned player visitor coach get sick covid cdc offer tip protect health safety staff player visitor involved youth sport tip http co tnpx fnvg http co ops mqskvf,1
139,one politician died virus,0
140,indiafightscorona health ministry review covid management response district across state exhibiting high caseload fatality,1
141,covid http co j aacjvhg,0
142,leaked report say many human planet http co kvl ooxu globalwarming coronavirus conspiracy,0
143,another current known data problem washington state rock solid reporting early part outbreak system got gummed seen new update state day,1
144,india spraying pesticide night prevent covid,0
145,home ministry declared posting coronavirus declared punishable offense,0
146,refuse socialdistance sign pledge bypass care get ill coronavirus http co bpyweruwv via arthurcaplan http co nwyblekp,1
147,rt cdcenvironment use bleach solution disinfecting product food currently case covid identifie,1
148,free coronavirus test kit available http co vvmmt ayai health coronavirus,0
149,drharshvardhan dispels doubt raised failure one vaccine clinical trial say trial continuing expert committee reappraisal significant mutation sars cov india icmr actively exploring saliva based test covid pib india,1
150,thirty nine gps specialist written bmj calling action long covid http co kgv pf http co jtc oucomw,1
151,scientist expressing cautious optimism covid vaccine ready go late spring although unclear much longer would take distribute vaccine widely http co srnfkura c,0
152,want context hospitalization data situation check weekly roundup tackled transitional period producing erratic artificially deflated hospitalization data http co tuohxwun u http co cddxgjrrw,1
153,coronavirusupdates covid testing status update icmrdelhi stated sample tested upto september sample tested september staysafe indiawillwin http co awnpnmp jv,1
154,video show first infected patient covid dhanbad hospital,0
155,say daniel radcliffe coronavirus,0
156,today total active covid case india sample tested today till pm covid lakshadweep reported single case till date arunachalpradesh mizoram reported covid case last hr http co lq ugeq,1
157,trump coronavirus may end november rd http co nn tfmvxr dranthonyfauci smallpox,0
158,coronavirus scientist believe coronavirus affect body http co mlmhan tjf,0
159,former rep trey gowdy wrote essay past social medium claiming covid pandemic planned help democrat election,0
160,health equity everyone opportunity healthy possible must address long standing inequity put racial ethnic group higher risk covid learn cdc covid healthequity strategy http co ovro b r http co xht gsfsgy,1
161,product page amazon offering toxic chlorine dioxide industrial bleach often sold name miracle mineral solution covid cure reported edpilkington guardian http co iiwgff hbe,0
162,recent date confirmed data north carolina may th infection rate meaning covid case slowly increasing,1
163,possible vaccine could available end year csa patrick vallance say vaccine could available small amount certain group adding likely see vaccine first half next year http co n totq zuh http co pzlzrn ego,1
164,phase dos allocated proportionally participating country simultaneously reduce overall risk phase consideration given country relation threat vulnerability drtedros covid http co kocc gcx,1
165,great news carona virus vaccine ready able cure patient within hour injection hat u scientist right trump announced roche medical company launch vaccine next sunday million dos ready note message requires confirmation,0
166,state reported death trend good http co yduwnhfwy,1
167,new case covid lagos oyo fct niger borno jigawa kaduna anambra edo river nasarawa bauchi benue zamfara case covid nigeria discharged death http co vbfas yqyj,1
168,twofold increase mortality among coronavirus patient hypertension http co enlbntdzbl,1
169,july last day state reported new covid case wear cloth face covering keep ft others wash hand often interested data state see covid data tracker http co ku nklzcq http co hmpsgmsgrl,1
170,covid never going away beach today raleigh north carolina,0
171,pope francis dying coronavirus http co wjinjkyi,0
172,new case covid nigeria lagos plateau oyo fct edo kaduna enugu ogun kano kwara cross river ondo river ekiti imo borno confirmed discharged death http co sjk grls,1
173,people offering prayer group rooftop despite lockdown case coronavirus india continuously increasing,0
174,access covid tool act accelerator aim provide equitable access tool tackle form covid disease asymptomatic mild severe disease http co zpl dmyiy,1
175,positive rate fallen lot since early april back like lot change driven rising test plummeting positive rate northeast http co krvy od x,1
176,rt imperialcollege uk government announced million support prof robin shattock roboskis team phase two trial,1
177,open vacancy nurse doctor health professional work temporary hospital paulo used treat covid case,0
178,photo funeral recently deceased sri lankan politician arumugam thondaman shared thousand time multiple facebook post post claim image show one thondaman daughter violated sri lanka mandatory coronavirus quarantine policy traveler attending ceremony shortly returning country overseas,0
179,morning identified close contact tokoroa health professional currently hospital covid already contacted expect contact remainder today,1
180,last place free covid pacific helped country region step effort prepare arrival covid http co jgwgoj z b whoimpact http co xsbv dwgxs,1
181,new covidview report hospitalization rate death covid increasing indicator track hospitalization death usually lag behind indicator track illness http co zp vylo pb http co wptwivfqf,1
182,true coronavirus cause sore throat gargling salt warm water may make feel better direct effect virus covid afaracare,0
183,dna vaccine shown work rhesus monkey exposing vaccinated monkey covid le virus lung read study sciencemagazine http co lr f qmp v,1
184,important strategy dealing doomsday scenario covid flu measles http co dscsm xx http co nb rn,1
185,older child seem spread covid like adult http co sd peyonoo http co ejmr x f,1
186,grateful support ihstowers providing ambulance nigeria covid response used port health service fmohnigeria kano edo oyo state emergency operation centre expand current capacity transportation case http co czuncll,1
187,sadly people hospital today around country covid two ward north shore hospital two icu one north shore one waikato hospital hoping everyone full speedy recovery,1
188,indian politician uddhav thackeray asked christian pray jesus stop covid,0
189,average number case nationwide flattened past week breaking downward trend seen beginning august http co tioecwn,1
190,positive coronavirus case nagpur along three doctor one ventilator,0
191,latest cdc covidview report show minority population like american indian black hispanic continue hospitalized covid nearly time rate non hispanic white counterpart learn http co zp vylo pb http co hpmlwpxd,1
192,asxgold kia os new zealand resident citizen child partner permitted enter new zealand,1
193,indiafightscorona test track treat effective implementation centre state ut ensured india one lowest covid case death per million population compared several country http co caqhv rk,1
194,indiafightscorona union health ministry urge state ut ensure restriction imposed movement medical oxygen state http co yx xzsuzt pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts icmrdelhi mygovindia,1
195,study covid likely mix seattle early flu season http co hdb mh,1
196,photo show people infected coronavirus lying sidewalk china,0
197,indiafightscorona active case total covid case recovery lakh exceed active case lakh http co ftuvx turg http co yvdleoybr,1
198,state like new york illinois california vocal demand funding bail pension system failing long covid outbreak program related crisis,0
199,news anti vaxxers close deciding medical condition pretend caused coronavirus vaccine http co dawxnypj http co envxr byr,0
200,coronavirusupdates total covid case india september cured discharged migrated active case death total covid confirmed case cured discharged migrated active case death http co hukbdqm f,1
201,new case covid lagos fct bauchi river oyo kaduna gombe edo ogun jigawa enugu kano osun ondo case covid nigeria discharged death http co xq b yib,1
202,florida number today include large number backlogged test state said http co esolo gpgn,1
203,local lockdown measure imposed welsh county rhondda cynon taf rise coronavirus case http co odij cy sg,1
204,announces algeria outside danger regarding covid,0
205,state reported nearly k case today day may positive rate highest since late may http co lzr w htvn,1
206,vast majority student st dominic casual contact tested precaution student staff well symptom covid need self isolate waiting test result,1
207,prime minister boris johnson say government shortly setting priority group think covid test follow live update pm face question liaison committee http co mcyj kfv http co qlpstqmj g,1
208,antibody common cold produce positive covid test false positive result covid antibody testing behind covid case reported u,0
209,child year represent reported covid case death compared age group usually mild disease http co c uxqrrmn http co l gqfttymg,1
210,man beaten deoria india lockdown time,0
211,daily update published tracked million test k yesterday note track test state report detail see http co pzrmh bl http co djdfyx mey,1
212,coronavirus like broken leg http co ggjyvfjzrc,0
213,photo show mass fleeing myanmar thailand due coronavirus pandemic,0
214,georgia particularly worrisome state seen large rise reported death despite rising infection steep hospitalization curve today state reported second highest death since beginning pandemic highest number since april http co xuz nna bl,1
215,new finding confirm earlier research showing major increase physician employment hospital past decade http co woolrigvku,1
216,ireland entire cabinet restrict movement health minister felt unwell tested coronavirus reported http co zo bfugy,1
217,backdrop lockdown video wild animal taking road surfacing internet among set picture herd deer round social medium claiming picture lake club chandigarh,0
218,reported death toll today last friday two state reported death today ny pa http co ejuetbswz,1
219,one optimistic point state left side chart finding positive case even lot testing suggests mitigation strategy working http co bbzkvmkc,1
220,mathguy hedgeyedj thank extremely insightful one two trusted website follow provide good summary update covid follow chrismartenson really good job recent video touted importance vitamin elderberry among thing,0
221,florida broke new york day average record case per million population today testing capacity obviously much much greater spring however still stunning see record fall http co vgzrm uwgw,1
222,outbreak continues many people united state point time either year next exposed covid likely many become sick people likely mild illness http co sldrvxxfcz,1
223,sir ganga ram hospital directed patient stay home n treat urself implies delhi govt miserably failed administrative responsibility providing health care n left delhites fate must sacked n lg take charge u agree,0
224,one previously reported case considered recovered total number active case imported case miq facility community case,1
225,joe diffie death labeled covid death,0
226,modeling assumption assume baseline general hospital occupancy rate across hospital accounting hospitalized non covid patient assume hospital increase available bed covid patient roughly double,1
227,bame doctor uk still given access potentially life saving covid risk assessment http co qsgkfqj p,1
228,daily update published state reported k test k case death http co h ur f,1
229,doctor named leslie chow discovered coronavirus died contact coronavirus patient,0
230,though number new case remained relatively flat regional data show steady state new case region scaled population http co vm npwhuks,1
231,yesterday lab processed test total number test completed date people linked community cluster auckland quarantine facility includes people tested positive household contact,1
232,coronavirus hospital urgent plea people go busy e covid test http co nrugoqjs,1
233,rightmove said activity aided current stamp duty holiday driven high demand garden space work home covid disrupts day day life http co adgxpjblhl,1
234,say covid virus,0
235,anyone flight facility time case treated close contact tested isolated negative result received,1
236,chris fairchild state provide negative result frequency comprehensiveness point think positive rate important indicator alexismadrigal,1
237,new case covid nigeria lagos fct plateau kaduna ogun kwara ebonyi ekiti oyo borno edo kano nasarawa osun taraba gombe bauchi confirmed discharged death http co c hfahc,1
238,per tamilnadu govt total sample tested covid sep covid covid covid covid covid india corona coronavirus coronavirusindia coronaviruspandemic coronavirusupdates covidupdates coronaupdate coronaupdatesindia http co ozpoahr z,1
239,trump effort blame obama sluggish coronavirus testing,0
240,first change track pending number state total go le erratically second tracking number state broaden grading criterion third making major change website,1
241,indiafightscorona india climb another historic peak lakh test lakh test done last hour pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts icmrdelhi covidnewsbymib pti news ani,1
242,state reported newly discovered case today last week low almost exact match last tuesday new case number http co lznngowak,1
243,public broadcast rtve published map coronavirus case spain fact map penis average size different region,0
244,allegheny county pa department emergency service using diverse source response planning including covid act http co hcvbhyvsmw http co hd bbpn q,1
245,aaj tak news report chinese prime minister said reading quran offering namaz cure covid,0
246,aug national forecast suggest new weekly covid death may decrease coming week new death week ending sept forecast predict k k total covid death u sept http co ft cgmampx http co c jhb v jg,1
247,developer bank tell government already spent ireland share eu trillion covid recovery fund http co rjdmlwsjes,0
248,drjudyamikovits promise viable vaccine developed covid virus think rehire judith mikovits living scientific encyclopedia viral research involved scientific research permitted,0
249,nancy pelosi suggests coronavirus c renamed c honor president trump http co sj al bawb donaldtrump,0
250,rt whoafro child wear mask safely child must clean hand maintain safe distance stop spread,1
251,mar lago test positive coronavirus http co pkmc cyg donaldtrump coronavirus mikepence maralago kayleighmcenany,0
252,covid vaccine oxford university success people cured,0
253,confirmation earlier today second death linked covid last two day mean number covid related death new zealand,1
254,photo show french nurse holding sign denounce police violence,0
255,daily update published state reported k new case covid solid k test covid death today day average death http co p l w oq,1
256,warns consuming cabbage prevent covid,0
257,coronavirusupdates total covid case india september cured discharged migrated active case death total covid confirmed case cured discharged migrated active case death http co agerkg egm,1
258,weekend lag effect pronounced death reporting example last week ca reported death monday tues az reported death mon tues today az reported death ca data output complicated human process http co wkn aqcigt,1
259,know strong weekend effect hit sunday monday especially reporting covid death sunday highlighted red http co fpadhxolj,1
260,new infection maharashtra record highest single day spike state far starting pm tomorrow manipur go complete lockdown day bhopal madhya pradesh impose city wide lockdown july august covid coronavirusfacts http co u zp p,0
261,louisiana posted record case count back back reporting saturday one positive thread compare hospitalization case chart clear diagnosing infection la first peak test today http co rgmowepkfe,1
262,whatsapp forward attributed cnn claim dr li wenliang whistleblower chinese government propaganda covid documented research report according report chemical like methylxanthine theobromine theophylline stimulate compound ward virus human body least average performing immune system,0
263,debunking misinformation coronavirus hoax travel fast number cause growing outbreak need clarification http co lqlfunenns http co euomfkdku,0
264,detail one covid tracking sharpest observer jordan zino gavinnewsom livestream http co l alob http co ozuw xckhd,1
265,person released quarantine isolation pose risk spreading covid people share fact coronavirus disease http co afhzlq v http co sawdcn bpe,1
266,pandemic opened door physician online learning physician new medscape report find http co jitkgktrrt,1
267,young people greater chance killed hpv vaccine covid,0
268,pandemic,0
269,growing number state city requiring face covering anyone leaving home learn best material make face mask properly wear care http co ostj oqq,1
